"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Other,Øptifish,Øptifish,2 weeks,Orange
Other,Spot,Spot,6 months,Beta
Other,Domino,Dommi,6,Paint
Other,Gregory Peck,Greggie,2,Bantam Cochin
Other,,,2,Lab
Other,Paisley Desert Melody ,Melody,7,Mustang (horse)
Other,Lucky,Lucky,,Desert tortoise
Other,Robert ,Robbie,1,Leopard gecko 
Other,Lilapution Marie,Lilla,0,
Other,Turtle Dove,Turtle,0,Syrian
Other,Michael Lee,Michael ,1,Beta
Other,Stanley ,Stan Bug,0,
Other,Richard Fineman,Richie,4,
Other,Kachu,Kachu,4 years,
Other,Potato,Tot,3,Abyssinian Guineapig 
Other,Ashe,Ashe,3,American standard chinchilla 
Other,Mr. Moesby,Mr. Moesby,3,Goldfish (common)
Other,Helen,Helen,3,Goldfish (tiny)
Other,Niblet,Fat pig,~4,Guinea Pig
Other,Penelope,Penne,1,Syrian
Other,Clementine the Lemon,Clem,7,
Other, Beatrice,Trixie,5,"Mexican Blind Cave Tetra (therefore, it was born with no eyes (so it has no “i’s in its name))"
Other,Stanley,Stanley,1,Ball python
Other,Golddigger,Goldie,,Australian Shepherd
Other,Professor McGongall (the queen),Hogwarts (the hive),A few months,
Other,Diego,Dego Bear,3,
Other,Linus,Linus,1,American Hairless Terrier
Other,Colby,Colbs,3,
Other,Greta,Greta,13,Mini Rex
Other,Alpha (the Beta),Alpha,1 month,
Other,Aragorn,Strider,5,Dwarf lop 
Other,Arwen ,Arwen ,4,Lion head dwarf lop 
Other,Robustiana,Robby,5,
Other,Cheeky,Twatty,5,
Other,Mussel ,Muss,3 years,
Other,Muffin,Muffin,2 years,
Other,Wilbur,Wilbur,1,n/a
Other,Vincent,Vinnie,1 year,n/a
Other,Taco,Taco,≈7,Russian Tortoise
Other,Cirkeline,Cirkeline,7,Mixed
Other,Tomasa,Tommy,1 year 10 months,
Other,Delphine,,2 years,Speckledys
Other,Lily,Lily,1,
Other,Rosie ,Rosie ,6, Chilean rose hair tarantula 
Other,Pebbles,Peb,4,Leopard gecko 
Other,Salt,Salt,2,
Other,Pepper,Pepper,2,
Other,Wobbles,Wobbles,10 months,Syrian Hamster
Other,Daisy,Daisy,12,Labrador 
Other,Professor Minerva McGonaquill,Minnie,2.5,African Pygmy 
Other,Fsh ,Fsh,10,"Mexican Blind Cave Tetra (therefore, it was born with no eyes (so it has no “i’s in its name))"
Other,katya,chicken (idk why),2,Russian Dwarf Hamster
Other,Arthur,Arturo,5,English Lop
Other,Buttercup,Butter,Unsure,
Other,Jumbo,Jumbo,19,Loxodon
Other,Fishy,Fishy,18,
Other,Addie Heart,Addie,8,Lab/Chow chow mix
Other,Milo Chicken Nugget,Milo,6 1/2 months,
Other,Donut,Donut,5,Crested Gecko
Other,Whiskers Goldie-the-Goldfish Sweetie,Whiskies,2,Beta
Other,,Petra,,Golden Retriever
Other,Waffle,Waffle,2,Betta fish 
Other,Pepperwood,Pepperwood,1+ years,Beta
Other,Sushi,Sushi,2,Beta
Other,Lord Baphomet: Destroyer of Worlds,Baphomet,We rescued from a fountain. Unknown.,n/a
Other,Hamtaro ,Hamtaro,🤷🏼‍♀️,
Other,Thing one,Her,1,
Other,Stubbs,Stubs,15,Leopard gecko 
Other,Blueberry,Blue,6 months,Betta fish 
